Tanggal,Kategori,Klasifikasi,Kelas,Bahan Bakar,Tahun Pembuatan,Sistem Pembakaran,CC,Tonnase,Jarak Tempuh,Opasitas,Tahun Uji,Usia Kendaraan,Baku Mutu Opasitas,Opasitas_ratio,segmen_tahun,Euro,alpha,Koreksi_Opasitas,LULUS/TIIDAK
05/09/2023 00:00,,C,,,2004,,,,,27.5,,19,50,0.55,<2010,NON_EURO,0.3,-0.135,TRUE
02/09/2023 00:00,,C,,,2004,,,,,24,,19,50,0.48,<2010,NON_EURO,0.3,-0.156,TRUE
10/09/2013,M,C,D1,Solar,2004,Diesel,4000,1,661016,45.8,2013,9,65,0.704615385,<2010,NON_EURO,0.3,-0.088615385,TRUE
08/01/2024 00:00,,C,,,2004,,,,,28.2,,20,65,0.433846154,<2010,NON_EURO,0.3,-0.169846154,TRUE
06/10/2015,M,C,D1,Solar,2004,Diesel,2500,3,243667,35.7,2015,11,65,0.549230769,<2010,NON_EURO,0.3,-0.135230769,TRUE
06/10/2015,M,C,D1,Solar,2004,Diesel,2500,3,59314,93.6,2015,11,65,1.44,<2010,NON_EURO,0.3,0.132,FALSE
23/09/2014,M,C,D3,Solar,2004,Diesel,2500,1420,24797,18.4,2014,10,65,0.283076923,<2010,NON_EURO,0.3,-0.215076923,TRUE
08/10/2015,M,C,D3,Solar,2004,Diesel,4000,22.7,222455,32.1,2015,11,65,0.493846154,<2010,NON_EURO,0.3,-0.151846154,TRUE
06/10/2015,M,C,D1,Solar,2004,Diesel,2500,3,174301,65,2015,11,65,1,<2010,NON_EURO,0.3,0,TRUE
05/07/2022,M,C,D3,Solar,2004,Diesel,2499,35,294009,94,2022,18,65,1.446153846,<2010,NON_EURO,0.3,0.133846154,FALSE
14/02/2023 00:00,,C,,,2004,,,,,33.1,,19,50,0.662,<2010,NON_EURO,0.3,-0.1014,TRUE
12/09/2013,M,C,D1,Solar,2004,Diesel,3000,1,21778,19.3,2013,9,65,0.296923077,<2010,NON_EURO,0.3,-0.210923077,TRUE
30/09/2023 00:00,,C,,,2004,,,,,21,,19,50,0.42,<2010,NON_EURO,0.3,-0.174,TRUE
28/04/2024 00:00,,C,,,2004,,,,,22.5,,20,65,0.346153846,<2010,NON_EURO,0.3,-0.196153846,TRUE
17/05/2017,M,C,D1,Solar,2004,Diesel,3300,3,176229,95.5,2017,13,65,1.469230769,<2010,NON_EURO,0.3,0.140769231,FALSE
01/03/2024 00:00,,C,,,2005,,,,,61.83,,19,65,0.951230769,<2010,NON_EURO,0.3,-0.014630769,TRUE
18/09/2013,M,C,D1,Solar,2005,Diesel,2500,3.5,245200,59.3,2013,8,65,0.912307692,<2010,NON_EURO,0.3,-0.026307692,TRUE
17/05/2016,M,C,D1,Solar,2005,Diesel,2500,3,217111,36.8,2016,11,65,0.566153846,<2010,NON_EURO,0.3,-0.130153846,TRUE
21/06/2022,M,C,D3,Solar,2005,Diesel,2500,20,430988,51.7,2022,17,65,0.795384615,<2010,NON_EURO,0.3,-0.061384615,TRUE
19/09/2023 00:00,,C,,,2005,,,,,20,,18,50,0.4,<2010,NON_EURO,0.3,-0.18,TRUE
02/09/2023 00:00,,C,,,2005,,,,,36,,18,50,0.72,<2010,NON_EURO,0.3,-0.084,TRUE
18/09/2013,M,C,D1,Solar,2005,Diesel,3000,3.5,112900,32.1,2013,8,65,0.493846154,<2010,NON_EURO,0.3,-0.151846154,TRUE
12/05/2016,M,C,D1,Solar,2005,Diesel,2500,3.5,918151,35,2016,11,65,0.538461538,<2010,NON_EURO,0.3,-0.138461539,TRUE
03/09/2023 00:00,,C,,,2005,,,,,38,,18,50,0.76,<2010,NON_EURO,0.3,-0.072,TRUE
26/08/2023 00:00,,C,,,2005,,,,,3,,18,50,0.06,<2010,NON_EURO,0.3,-0.282,TRUE
25/02/2025 00:00,,C,,,2005,,,,,45.6,,20,65,0.701538462,<2010,NON_EURO,0.3,-0.089538462,TRUE
12/05/2016,M,C,D1,Solar,2005,Diesel,2500,3.5,734511,87.7,2016,11,65,1.349230769,<2010,NON_EURO,0.3,0.104769231,FALSE
22/05/2014,M,C,D3,Solar,2005,Diesel,2000,1000,34604,43.9,2014,9,65,0.675384615,<2010,NON_EURO,0.3,-0.097384616,TRUE
08/01/2024 00:00,,C,,,2005,,,,,24,,19,65,0.369230769,<2010,NON_EURO,0.3,-0.189230769,TRUE
11/09/2013,M,C,D1,Solar,2005,Diesel,3298,1,27791,81.1,2013,8,65,1.247692308,<2010,NON_EURO,0.3,0.074307692,FALSE
12/09/2013,M,C,D1,Solar,2005,Diesel,2477,1,101713,99.9,2013,8,65,1.536923077,<2010,NON_EURO,0.3,0.161076923,FALSE
11/09/2013,M,C,D1,Solar,2005,Diesel,2477,1,55288,63.8,2013,8,65,0.981538462,<2010,NON_EURO,0.3,-0.005538461,TRUE
05/10/2023 00:00,,C,,,2005,,,,,24.2,,18,65,0.372307692,<2010,NON_EURO,0.3,-0.188307692,TRUE
07/10/2015,M,C,D1,Solar,2005,Diesel,2800,3,96257,17.3,2015,10,65,0.266153846,<2010,NON_EURO,0.3,-0.220153846,TRUE
18/05/2017,M,C,D3,Solar,2005,Diesel,3300,33,298704,86.3,2017,12,65,1.327692308,<2010,NON_EURO,0.3,0.098307692,FALSE
07/09/2023 00:00,,C,,,2005,,,,,40,,18,50,0.8,<2010,NON_EURO,0.3,-0.06,TRUE
31/08/2023 00:00,,C,,,2005,,,,,10,,18,50,0.2,<2010,NON_EURO,0.3,-0.24,TRUE
29/03/2022,M,C,D3,Solar,2005,Diesel,3298,30,21678,91.9,2022,17,65,1.413846154,<2010,NON_EURO,0.3,0.124153846,FALSE
11/09/2013,M,C,D1,Solar,2005,Diesel,2771,1,22605,43.9,2013,8,65,0.675384615,<2010,NON_EURO,0.3,-0.097384616,TRUE
10/09/2013,M,C,D1,Solar,2005,Diesel,3300,1,198190,74.8,2013,8,65,1.150769231,<2010,NON_EURO,0.3,0.045230769,FALSE
08/10/2015,M,C,D1,Solar,2005,Diesel,2500,3,236963,97.2,2015,10,65,1.495384615,<2010,NON_EURO,0.3,0.148615385,FALSE
12/09/2013,M,C,D1,Solar,2005,Diesel,3661,1,1961,25.8,2013,8,65,0.396923077,<2010,NON_EURO,0.3,-0.180923077,TRUE
19/09/2023 00:00,,C,,,2005,,,,,20,,18,50,0.4,<2010,NON_EURO,0.3,-0.18,TRUE
